# cp [..cp] ; SVOsimple ; MVOsimple
FD3E..FD3F ; U ; R # Brackets are sideways to enclose their text
FD40..FDFC ; U ; R
FDFD ; U ; R # :?: ScriptExt=Arab Thaa
FDFE..FE0F ; U ; R
FE10..FE19 ; U ; U # Vertical presentation forms always upright
FE1A..FE1F ; U ; U
FE20..FE2F ; U ; R
FE30..FE44 ; U ; U # Vertical presentation forms always upright
FE45..FE46 ; U ; U # Sesame dots are always upright
FE47..FE48 ; U ; U # Vertical presentation forms always upright
FE49 ; U ; R # Match dashed low line
FE4A ; U ; R # Match centerline low line
FE4B..FE4C ; U ; R # Match wavy low line
FE4D..FE4F ; R ; R # Match low line
FE50..FE51 ; U ; U # Small variants upright; comma needs shifting
FE52 ; U ; U # Small variants upright; full stop needs shifting
FE53 ; U ; U
FE54 ; U ; U # Small semicolons are either upright (Chinese-style) or rotated sideways (Japanese-style)
FE55 ; U ; U # Small colons are either upright (Chinese-style) or rotated sideways (Japanese-style)
FE56..FE57 ; U ; U # Small variants upright
FE58 ; R ; R # Dashes are sideways
FE59..FE5E ; R ; R # :?: Brackets are sideways to enclose their text
FE5F..FE61 ; U ; U # Small variants upright
FE62 ; U ; U # Match fullwidth variant
FE63 ; R ; R # Hyphens are upright
FE64..FE66 ; R ; R # Match fullwidth variant
FE67 ; U ; U
FE68 ; U ; U # Small variants upright
FE69 ; U ; U # Small matches fullwidth
FE6A..FE6B ; U ; U # Small variants upright
FE6C..FE6F ; U ; U
FE70..FF00 ; U ; R
FF01 ; U ; U # Fullwidth variants are upright
FF02 ; U ; U # Fullwidth variants are upright; quotes need alt glyph
FF03 ; U ; U # Fullwidth variants are upright
FF04 ; U ; U # Fullwidth always upright
FF05..FF07 ; U ; U # Fullwidth variants are upright
FF08..FF09 ; U ; U # Brackets are sideways to enclose their text (CJK fonts usually have vertical glyph)
FF0A ; U ; U # Fullwidth variants are upright
FF0B ; U ; U
FF0C ; U ; U # Fullwidth variants are upright; coma needs shifting
FF0D ; R ; R # Hyphens are upright
FF0E ; U ; U # Fullwidth variants are upright; full stop needs shifting
FF0F ; U ; U # Fullwidth variants are upright
FF10..FF19 ; U ; U
FF1A ; U ; U # Fullwidth colons are either upright (Chinese-style) or rotated sideways (Japanese-style)
FF1B ; U ; U # Fullwidth semicolons are either upright (Chinese-style) or rotated sideways (Japanese-style)
FF1C..FF1E ; R ; R
FF1F..FF20 ; U ; U # Fullwidth variants are upright
FF21..FF3A ; U ; U
FF3B ; U ; U # Brackets are sideways to enclose their text (CJK fonts usually have vertical glyph)
FF3C ; U ; U # Fullwidth variants are upright
FF3D ; U ; U # Brackets are sideways to enclose their text (CJK fonts usually have vertical glyph)
FF3E ; U ; U # Fullwidth is upright
FF3F ; U ; U # Match low line
FF40 ; U ; U # Fullwidth is upright
FF41..FF5A ; U ; U
FF5B ; U ; U # Brackets are sideways to enclose their text (CJK fonts usually have vertical glyph)
FF5C ; U ; U
FF5D ; U ; U # Brackets are sideways to enclose their text (CJK fonts usually have vertical glyph)
FF5E ; U ; U # :!: Dashes are sideways, and [[http://en.wikipedia.org/wiki/Tilde#Unicode_and_Shift_JIS_encoding_of_wave_dash|this is considered equivalent to WAVE DASH U+301C]] even though it's technically a Math Symbol (Sm) fullwidth variant of U+007E
FF5F..FF60 ; U ; U # Brackets are sideways to enclose their text (CJK fonts usually have vertical glyph)
FF61 ; U ; R # Full stop needs shifting; :?: half-width needs transform to be half-width
FF62..FF63 ; U ; R # Brackets are sideways to enclose their text
FF64 ; U ; R # Comma needs shifting; :?: Halfwidth needs transform to be half-width
FF65 ; U ; R # :?: Halfwidth needs transform to be half-width
FF66..FF6F ; U ; R
FF70 ; U ; R # :?: Halfwidth?
FF71..FFDF ; U ; R
FFE0..FFE1 ; U ; U # Fullwidth always upright
FFE2 ; U ; U
FFE3 ; U ; U # Treated as fullwidth overline
FFE4 ; U ; U
FFE5..FFE6 ; U ; U # Fullwidth always upright
FFE7 ; U ; U
FFE8..FFEF ; U ; R
FFF0..FFF8 ; U ; U
FFF9..FFFC ; U ; R
FFFD ; U ; U
FFFE..10B39 ; U ; R
10B3A..10B3F ; U ; R # Match Avestan
10B40..12FFF ; U ; R
13000..167FF ; U ; U
16800..1AFFF ; U ; R
1B000..1D3FF ; U ; U
1D400..1EFFF ; U ; R
1F000..E00FF ; U ; U
E0100..FFFFC ; U ; R
